phrase,intent,parameters
Открой окно,window_set,
Приоткрой правое переднее окно на пару сантиметров,window_set,"{""position"": ""partial"", ""side"": ""right_front""}"
"Закрой, пожалуйста, все окна",window_set,"{""target"": ""all""}"
Кондиционер,ac_set,
Включи климат контроль на двадцать два градуса,ac_set,"{""temperature"": 22}"
Отключи кондиционер — жара надоела,ac_off,
Сделай холоднее на три градуса,ac_set,"{""delta"": 3}"
Переключи режим кондиционера на рециркуляцию,ac_mode_set,"{""mode"": ""recirculation""}"
"Режим вентиляции в салоне, пожалуйста",ac_mode_set,"{""mode"": ""vent""}"
Увеличь скорость вентилятора,ac_fan_set,"{""direction"": ""up""}"
Понизь обдув до минимума,ac_fan_set,"{""level"": ""min""}"
"Подогрев сидений, подогрей пассажирское кресло",seat_heater_set,"{""seat"": ""passenger"", ""state"": ""on""}"
Сделай подогрев водительского сиденья на три,seat_heater_set,"{""seat"": ""driver"", ""level"": 3}"
"Ох, жарко — включи вентиляцию в кресле",seat_vent_set,"{""state"": ""on""}"
Отключи вентилирование сидений,seat_vent_set,"{""state"": ""off""}"
Оттаивание лобового стекла включи,defrost_set,"{""target"": ""front"", ""state"": ""on""}"
Подними обдув на стекла и зеркала,defrost_set,"{""target"": ""all_glass"", ""level"": ""max""}"
Открой люк на крыше полностью,sunroof_set,"{""position"": ""open""}"
"Закрой панорамную крышу, пожалуйста",sunroof_close,
Пусть музыка играет,play_music,
Стоп,stop_music,
Поставь на паузу трек,media_pause,
Следующая песня,next_track,
"Назад, предыдущий трек",previous_track,
Сделай погромче,volume_change,"{""direction"": ""up""}"
Убавь звук на пять,volume_change,"{""delta"": 5}"
Громкость 30 процентов,volume_set,"{""percent"": 30}"
Заглуши звук полностью,volume_mute_set,"{""mute"": true}"
Включи Bluetooth как источник,media_source_set,"{""source"": ""bluetooth""}"
Повтор трек один раз включи,media_repeat_set,"{""mode"": ""one""}"
"Случайный порядок воспроизведения включи, пожалуйста",media_shuffle_set,"{""shuffle"": true}"
Включи радио,radio_set,
Настрой FM на сто ноль точка пять,radio_set_station,"{""band"": ""FM"", ""frequency"": ""100.5""}"
На навигаторе проложи маршрут на горную площадку у обзорной точки,nav_start,"{""destination"": ""обзорная точка""}"
"Отмени маршрут, пожалуйста",nav_cancel,
Позвони маме,call_start,"{""contact"": ""мама""}"
Ответь на звонок,call_answer,
"Сбрось вызов, повесь трубку",call_hangup,
Фары включи,headlights_set,"{""state"": ""on""}"
Дальний свет выключи,high_beam_set,"{""state"": ""off""}"
Дворники включи интервальный режим,wipers_set,"{""mode"": ""intermittent""}"
"Авто-дождь, включи режим дождя",rain_set,"{""mode"": ""auto""}"
"Подогрев руля активируй, руки потеют",wheel_heater_set,"{""state"": ""on""}"
"Ну и день сегодня, жара, серпантин вдоль берега — погода мечта",chitchat,
Включи левое заднее окно наполовину,window_set,"{""side"": ""left_rear"", ""position"": ""half""}"
"Закрой люк чуть-чуть, чтобы шум шин не бил по голове",sunroof_set,"{""position"": ""tilt""}"
Охладитель — на максимум! Жарко под палящим солнцем,ac_set,"{""temperature"": ""max_cool""}"
"Выключи кондиционер, больше не нужно",ac_off,
Переключи на автоматический режим климата,ac_mode_set,"{""mode"": ""auto""}"
Уменьши силу вентилятора до средней ступени,ac_fan_set,"{""level"": ""medium""}"
"Включи подогрев сиденья, но на низкий режим",seat_heater_set,"{""level"": ""low""}"
"Проветри кресло водителя, включи вентиляцию 2 уровня",seat_vent_set,"{""seat"": ""driver"", ""level"": 2}"
Убери обледенение заднего стекла,defrost_set,"{""target"": ""rear"", ""state"": ""on""}"
"Открой крышу лишь немного, пусть шум шин не мешает слишком сильно",sunroof_set,"{""position"": ""slight_open""}"
Включи подборку музыки для серпантина,play_music,"{""playlist"": ""serpentine""}"
"Прекрати воспроизведение, пожалуйста",stop_music,
Поставь паузу — слушаю разговор пассажира,media_pause,
"Следующий трек, смени настроение",next_track,
"Верни тот кусок, который только что шёл",previous_track,
"Сделай тише на два шага, дорога шумная",volume_change,"{""delta"": 2}"
Громкость 15,volume_set,"{""level"": 15}"
Отключи звук на пару минут,volume_mute_set,
Переключись на USB-плеер как источник,media_source_set,"{""source"": ""usb""}"
Повтори альбом снова,media_repeat_set,"{""mode"": ""album""}"
"Включи перемешивание, пусть песни идут вразнобой",media_shuffle_set,"{""shuffle"": true}"
"Переключи на волну FM 88.7, там хорошая передача у серпантина",radio_set_station,"{""band"": ""FM"", ""frequency"": ""88.7""}"
"Построй маршрут к кафе на повороте за следующим холмом, избегая платных дорог",nav_start,"{""destination"": ""кафе на повороте"", ""avoid"": ""tolls""}"
Отмени навигацию и восстанови обычный режим карты,nav_cancel,
"Позвонить Серёже, скажи, что позже буду",call_start,"{""contact"": ""Серёжа""}"
"Ответь, пожалуйста, на входящий",call_answer,
"Сбрось текущий звонок, едем по серпантину",call_hangup,
Включи ближний свет и подстрой яркость фар,headlights_set,"{""state"": ""on""}"
Переключись на дальний — впереди открытый участок дороги,high_beam_set,"{""state"": ""on""}"
