phrase,intent,parameters
Открой окно у водителя на сто процентов,window_set,"{""action"": ""open"", ""window"": ""driver"", ""percent"": 100}"
"Закрой все окна, пожалуйста",window_set,"{""action"": ""close"", ""window"": ""all""}"
Приоткрой пассажирское стекло,window_set,"{""action"": ""set"", ""window"": ""passenger"", ""percent"": 50}"
Сделай кондиционер на тридцать градусов,ac_set,"{""state"": ""on"", ""temperature"": 30}"
Включи кондиционер,ac_set,"{""state"": ""on"", ""temperature"": 22}"
Выключи кондиционер,ac_off,
Поставь обдув на авто,ac_mode_set,"{""enabled"": true}"
Включи вентилятор на максимуме,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Включи обогрев сиденья пассажира на восемьдесят процентов,seat_heater_set,"{""seat"": ""passenger"", ""level"": 80}"
Установи обогрев сиденья водителя на ноль,seat_heater_set,"{""seat"": ""driver"", ""level"": 0}"
Включи обдув для переднего стекла,defrost_set,"{""state"": ""on"", ""target"": ""front""}"
Закрой люк на полную,sunroof_set,"{""action"": ""close"", ""percent"": 100}"
Открой люк на тридцать процентов,sunroof_set,"{""action"": ""open"", ""percent"": 30}"
Включи музыку,play_music,
Приостанови воспроизведение,media_pause,
Сделай потише на десять,volume_change,"{""delta"": -10}"
Поставь громкость на семьдесят процентов,volume_set,"{""level"": 70}"
Выключи звук,volume_mute_set,"{""state"": ""on""}"
Настрой радио на восемьдесят семь точка пять,radio_set,"{""frequency"": ""87.5""}"
Привет,chitchat,
Позвони маме,call_start,"{""contact"": ""мама""}"
Ответь на звонок,call_answer,
Заканчивай звонок,call_hangup,
Как доехать до аэропорта?,nav_start,"{""destination"": ""аэропорт""}"
Отмени навигацию,nav_cancel,
Включи фары,headlights_set,"{""state"": ""on""}"
Переключи на дальний свет,high_beam_set,"{""state"": ""on""}"
Установи стеклоочистители на среднюю скорость,wipers_set,"{""speed"": ""medium""}"
Включи режим дождя на авто,rain_set,"{""mode"": ""auto""}"
Включи подогрев руля,wheel_heater_set,"{""state"": ""on""}"
Закрой окно водителя,window_set,"{""action"": ""close"", ""window"": ""driver""}"
Открой пассажирское стекло на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""passenger"", ""percent"": 30}"
"Приоткрой все окна, пожалуйста",window_set,"{""action"": ""open"", ""window"": ""all""}"
Сделай кондиционер на двадцать градусов,ac_set,"{""state"": ""on"", ""temperature"": 20}"
Поставь обогрев сиденья пассажира на пятнадцать,seat_heater_set,"{""seat"": ""passenger"", ""level"": 15}"
Увеличь скорость вентилятора до семидесяти,ac_fan_set,"{""level"": 70, ""speed"": ""high""}"
Закрой люк,sunroof_close,
Сделай погромче на десять,volume_change,"{""delta"": 10}"
Убавь громкость на два,volume_change,"{""delta"": -2}"
Останови музыку,stop_music,
Переключи на следующий трек,next_track,
Вернись на предыдущий трек,previous_track,
Настрой радио на 95.5,radio_set,"{""frequency"": ""95.5""}"
Переключи на Bluetooth,media_source_set,"{""source"": ""bluetooth""}"
Как доехать до Кремля?,nav_start,"{""destination"": ""Кремль""}"
Позвони Андрею,call_start,"{""contact"": ""Андрей""}"
Поставь громкость на пятьдесят процентов,volume_set,"{""level"": 50}"
"Скажи, как доехать до магазина",nav_start,"{""destination"": ""магазин""}"
"Сделай холоднее, на 5 градусов",ac_set,"{""state"": ""on"", ""temperature"": 15}"
Установи на обогрев сиденья уровень на восемьдесят,seat_heater_set,"{""seat"": ""driver"", ""level"": 80}"
Приоткрой стекло на двадцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 20}"
Настрой кондиционер на 18 градусов,ac_set,"{""state"": ""on"", ""temperature"": 18}"
Уменьши громкость на двадцать процентов,volume_change,"{""direction"": ""down""}"
Включи радио на частоте 101.5,radio_set,"{""frequency"": ""101.5""}"
Позвони другу,call_start,"{""contact"": ""друг""}"
Выключи свет в салоне,headlights_set,"{""state"": ""off""}"
Сделай погромче,volume_change,"{""direction"": ""up""}"
Открой люк на сто процентов,sunroof_set,"{""action"": ""open"", ""percent"": 100}"
Открой окно водителя на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
Можно открыть окно у пассажира?,window_set,"{""action"": ""open"", ""window"": ""passenger""}"
