phrase,intent,parameters
Можно открыть окно у пассажира?,window_set,"{""action"": ""open"", ""window"": ""passenger""}"
Открой все окна на половину,window_set,"{""action"": ""set"", ""window"": ""all"", ""percent"": 50}"
Открой окно у водителя полностью,window_set,"{""action"": ""open"", ""window"": ""driver""}"
Открой окно у водителя на пятьдесят процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 50}"
Сделай кондиционер на двадцать градусов,ac_set,"{""state"": ""on"", ""temperature"": 20}"
Сделай кондиционер на тридцать градусов,ac_set,"{""state"": ""on"", ""temperature"": 30}"
Поставь кондиционер на 25,ac_set,"{""state"": ""on"", ""temperature"": 25}"
Настрой кондиционер на 18 градусов,ac_set,"{""state"": ""on"", ""temperature"": 18}"
Выключи кондиционер,ac_off,
Поставь обдув на авто,ac_mode_set,"{""enabled"": true}"
Увеличь скорость вентилятора до 80,ac_fan_set,"{""level"": 80, ""speed"": ""high""}"
Сделай обдув на среднем уровне,ac_fan_set,"{""level"": 60, ""speed"": ""medium""}"
Увеличь скорость вентилятора до семидесяти,ac_fan_set,"{""level"": 70, ""speed"": ""high""}"
Включи вентилятор на максимуме,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Установи на обогрев сиденья уровень на восемьдесят,seat_heater_set,"{""seat"": ""driver"", ""level"": 80}"
Включи обогрев сиденья пассажира на тридцать процентов,seat_heater_set,"{""seat"": ""passenger"", ""level"": 30}"
Установи обогрев сиденья водителя на ноль,seat_heater_set,"{""seat"": ""driver"", ""level"": 0}"
Включи обогрев сиденья пассажира на 75,seat_heater_set,"{""seat"": ""passenger"", ""level"": 75}"
Включи обдув для переднего стекла,defrost_set,"{""state"": ""on"", ""target"": ""front""}"
Включи обогрев заднего стекла,defrost_set,"{""state"": ""on"", ""target"": ""rear""}"
Выключи обогрев переднего стекла,defrost_set,"{""state"": ""off"", ""target"": ""front""}"
Закрой люк на полную,sunroof_set,"{""action"": ""close"", ""percent"": 100}"
Открой люк на тридцать процентов,sunroof_set,"{""action"": ""open"", ""percent"": 30}"
Открой люк на сто процентов,sunroof_set,"{""action"": ""open"", ""percent"": 100}"
Приоткрой люк на 50%,sunroof_set,"{""action"": ""open"", ""percent"": 50}"
Включи музыку,play_music,
Приостанови воспроизведение,media_pause,
Убавь громкость на два,volume_change,"{""delta"": -2}"
Сделай погромче на десять,volume_change,"{""delta"": 10}"
Уменьши громкость на двадцать процентов,volume_change,"{""direction"": ""down""}"
Сделай потише на десять,volume_change,"{""delta"": -10}"
Поставь громкость на семьдесят процентов,volume_set,"{""level"": 70}"
Поставь громкость на пятьдесят процентов,volume_set,"{""level"": 50}"
Сделай громкость на 75 процентов,volume_set,"{""level"": 75}"
Поставь уровень громкости на восемьдесят,volume_set,"{""level"": 80}"
Выключи звук,volume_mute_set,"{""state"": ""on""}"
Включи радио на частоте 101.5,radio_set,"{""frequency"": ""101.5""}"
Включи радио на частоте 92.5,radio_set,"{""frequency"": ""92.5""}"
Настрой радио на 95.5,radio_set,"{""frequency"": ""95.5""}"
Настрой радио на восемьдесят семь точка пять,radio_set,"{""frequency"": ""87.5""}"
Привет,chitchat,
Позвони Андрею,call_start,"{""contact"": ""Андрей""}"
"Перезвони мне, пожалуйста",call_start,"{""contact"": ""я""}"
Позвони Ивану,call_start,"{""contact"": ""Иван""}"
Позвони другу,call_start,"{""contact"": ""друг""}"
Ответь на звонок,call_answer,
Заканчивай звонок,call_hangup,
"Скажи мне, как доехать до ближайшей заправки?",nav_start,"{""destination"": ""ближайшая заправка""}"
Как доехать до Кремля?,nav_start,"{""destination"": ""Кремль""}"
Как доехать до музея?,nav_start,"{""destination"": ""музей""}"
"Скажи, как доехать до магазина",nav_start,"{""destination"": ""магазин""}"
Отмени навигацию,nav_cancel,
Включи фары,headlights_set,"{""state"": ""on""}"
Выключи свет в салоне,headlights_set,"{""state"": ""off""}"
Сделай свет фар авто,headlights_set,"{""state"": ""auto""}"
Переключи на дальний свет,high_beam_set,"{""state"": ""on""}"
Выключи дальний свет,high_beam_set,"{""state"": ""off""}"
Установи стеклоочистители на среднюю скорость,wipers_set,"{""speed"": ""medium""}"
Включи стеклоочистители на авто,wipers_set,"{""speed"": ""auto""}"
Сделай дворники на медленной скорости,wipers_set,"{""speed"": ""low""}"
Включи режим дождя на авто,rain_set,"{""mode"": ""auto""}"
Включи подогрев руля,wheel_heater_set,"{""state"": ""on""}"
Закрой люк,sunroof_close,
Останови музыку,stop_music,
Переключи на следующий трек,next_track,
Вернись на предыдущий трек,previous_track,
Переключи на Bluetooth,media_source_set,"{""source"": ""bluetooth""}"
Включи вентиляцию сиденья у водителя на максимум,seat_vent_set,"{""seat"": ""driver"", ""level"": 100}"
Поставь вентилятор для водителя на 50,seat_vent_set,"{""seat"": ""driver"", ""level"": 50}"
