phrase,intent,parameters
Открой окно водителя на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
"Закрой все окна, пожалуйста",window_set,"{""action"": ""close"", ""window"": ""all""}"
Приоткрой стекло у пассажира,window_set,"{""action"": ""open"", ""window"": ""passenger""}"
Сделай кондиционер на двадцать два градуса,ac_set,"{""state"": ""on"", ""temperature"": 22}"
Выключи кондиционер,ac_off,
Переключи кондиционер в режим обдува,ac_mode_set,"{""enabled"": true}"
Увеличь скорость вентилятора до 70,ac_fan_set,"{""level"": 70, ""speed"": ""medium""}"
Включи обогрев сиденья у водителя на 100,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Как отключить обогрев сиденья у пассажира?,seat_heater_set,"{""seat"": ""passenger"", ""level"": 0}"
Включи обогрев сиденья на уровне 50,seat_heater_set,"{""seat"": ""driver"", ""level"": 50}"
Сделай громче на пять,volume_change,"{""delta"": 5}"
Уменьши громкость на 10 процентов,volume_change,"{""delta"": -10}"
Сделай звук тише,volume_change,"{""direction"": ""down""}"
Включи музыку,play_music,
Останови воспроизведение музыки,stop_music,
Пауза,media_pause,
Следующий трек,next_track,
Назад на предыдущий трек,previous_track,
Поставь радио на частоту 95.5,radio_set,"{""frequency"": ""95.5""}"
Поменяй источник на Bluetooth,media_source_set,"{""source"": ""bluetooth""}"
Как доехать до Кремля?,nav_start,"{""destination"": ""Кремль""}"
Отмени навигацию,nav_cancel,
Позвони маме,call_start,"{""contact"": ""мама""}"
Ответь на звонок,call_answer,
Завершить разговор,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Выключи ближний свет,high_beam_set,"{""state"": ""off""}"
Установи дворники на авто,wipers_set,"{""speed"": ""auto""}"
Увеличь скорость работы дворников до максимума,wipers_set,"{""speed"": ""high""}"
Как дела?,chitchat,
"Привет, как ты?",chitchat,
"Пожалуйста, открой пассажирское окно на двадцать процентов",window_set,"{""action"": ""set"", ""window"": ""passenger"", ""percent"": 20}"
Сделай потише на десять,volume_change,"{""delta"": -10}"
"Включи кондиционер, температура пусть будет 21 градус",ac_set,"{""state"": ""on"", ""temperature"": 21}"
Выключи кондиционер,ac_off,
Запусти радио на частоте 92.5,radio_set,"{""frequency"": ""92.5""}"
Установи уровень громкости на восемьдесят процентов,volume_set,"{""level"": 80}"
"Можно, пожалуйста, сделать погромче?",volume_change,"{""direction"": ""up""}"
Закрой все окна,window_set,"{""action"": ""close"", ""window"": ""all""}"
"Привет, как дела?",chitchat,
Как добраться до аэропорта?,nav_start,"{""destination"": ""аэропорт""}"
Открой окно у водителя,window_set,"{""action"": ""open"", ""window"": ""driver""}"
Поставь песню на следующий трек,next_track,
Открой люк на половину,sunroof_set,"{""action"": ""open"", ""percent"": 50}"
Выключи свет,headlights_set,"{""state"": ""off""}"
Какой сейчас уровень громкости?,chitchat,
"Пожалуйста, сделай потише",volume_change,"{""direction"": ""down""}"
Выключи обогрев сиденья у пассажира,seat_heater_set,"{""seat"": ""passenger"", ""level"": 0}"
Включи режим обдува,ac_mode_set,"{""enabled"": true}"
"Пожалуйста, подключи Bluetooth",media_source_set,"{""source"": ""bluetooth""}"
Выключи стеклоочистители,wipers_set,"{""speed"": ""off""}"
Открой окно у водителя на десять процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 10}"
Закрой все окна,window_set,"{""action"": ""close"", ""window"": ""all""}"
Приоткрой стекло пассажирского окна,window_set,"{""action"": ""open"", ""window"": ""passenger""}"
Включи кондиционер на 20 градусов,ac_set,"{""state"": ""on"", ""temperature"": 20}"
Выключи кондиционер,ac_off,
Поставь режим обдува кондиционера,ac_mode_set,"{""enabled"": true}"
Включи обогрев сиденья пассажира на максимуме,seat_heater_set,"{""seat"": ""passenger"", ""level"": 100}"
Сделай погромче на 5 единиц,volume_change,"{""delta"": 5}"
Уменьши громкость на десять процентов,volume_change,"{""direction"": ""down""}"
Включи музыку,play_music,
Следующий трек,next_track,
Поставь радиостанцию 98.5,radio_set,"{""frequency"": ""98.5""}"
Как доехать до аэропорта?,nav_start,"{""destination"": ""аэропорт""}"
Отмени навигацию,nav_cancel,
Позвони Сергею,call_start,"{""contact"": ""Сергей""}"
Ответь на звонок,call_answer,
Выключи фары,headlights_set,"{""state"": ""off""}"
Как дела?,chitchat,
Сделай на 15% громче,volume_change,"{""delta"": 15}"
Закрой люк,sunroof_close,
Поставь радио на 102.5,radio_set,"{""frequency"": ""102.5""}"
Приоткрой окно у водителя на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
Закрой все окна полностью,window_set,"{""action"": ""close"", ""window"": ""all""}"
Открой пассажирское стекло наполовину,window_set,"{""action"": ""set"", ""window"": ""passenger"", ""percent"": 50}"
Закрой окно сзади,window_set,"{""action"": ""close"", ""window"": ""rear""}"
"Включи кондиционер, сделай 22 градуса",ac_set,"{""state"": ""on"", ""temperature"": 22}"
Выключи климат-контроль,ac_off,
Установи обдув на максимуме,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Включи рециркуляцию,ac_mode_set,"{""enabled"": true}"
Поставь обогрев сиденья пассажира на 70%,seat_heater_set,"{""seat"": ""passenger"", ""level"": 70}"
Отключи обогрев сиденья водителя,seat_heater_set,"{""seat"": ""driver"", ""level"": 0}"
Включи кондиционер и установи 18 градусов,ac_set,"{""state"": ""on"", ""temperature"": 18}"
Включи обогрев переднего стекла,defrost_set,"{""state"": ""on"", ""target"": ""front""}"
Закрой люк на максимум,sunroof_set,"{""action"": ""close"", ""percent"": 100}"
Открой люк на 50 процентов,sunroof_set,"{""action"": ""open"", ""percent"": 50}"
Включи радио на 95.5,radio_set,"{""frequency"": ""95.5""}"
Следующий трек,next_track,
Сделай громче на 10,volume_change,"{""delta"": 10}"
Выключи музыку,stop_music,
Переключи на Bluetooth,media_source_set,"{""source"": ""bluetooth""}"
Позвони Сергею,call_start,"{""contact"": ""Сергей""}"
Отвечаю на звонок,call_answer,
Заверши звонок,call_hangup,
Как добраться до станции метро?,nav_start,"{""destination"": ""станция метро""}"
Отмени навигацию,nav_cancel,
Включи фары,headlights_set,"{""state"": ""on""}"
Поставь дворники на авто,wipers_set,"{""speed"": ""auto""}"
"Привет, как дела?",chitchat,
Включи обогрев руля,wheel_heater_set,"{""state"": ""on""}"
Сделай звук тише на 5,volume_change,"{""delta"": -5}"
Открой окно водителя на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
"Пожалуйста, закрой окно у пассажира",window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Приоткрой все окна на 50 процентов,window_set,"{""action"": ""set"", ""window"": ""all"", ""percent"": 50}"
Закрой все окна,window_set,"{""action"": ""close"", ""window"": ""all""}"
"Сделай холоднее, поставь кондиционер на 20 градусов",ac_set,"{""state"": ""on"", ""temperature"": 20}"
"Выключи кондиционер, пожалуйста",ac_off,
Включи кондиционер и установи на 24,ac_set,"{""state"": ""on"", ""temperature"": 24}"
Дай мне обдув лобового стекла,ac_mode_set,"{""enabled"": true}"
Сделай вентилятор на максимуме,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Установи обогрев сиденья для пассажира на 80,seat_heater_set,"{""seat"": ""passenger"", ""level"": 80}"
Включи обогрев сиденья водителя,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Выключи обогрев сидения,seat_heater_set,"{""seat"": ""driver"", ""level"": 0}"
Включи вентилятор для сиденья,seat_vent_set,"{""seat"": ""driver"", ""level"": 50}"
Сделай обдув заднего стекла,defrost_set,"{""state"": ""on"", ""target"": ""rear""}"
Закрой люк на 60 процентов,sunroof_set,"{""action"": ""close"", ""percent"": 60}"
Открой люк полностью,sunroof_set,"{""action"": ""open"", ""percent"": 100}"
Слушай музыку,play_music,
Останови музыку,stop_music,
Поставь музыку на паузу,media_pause,
Переключи на следующую песню,next_track,
Вернись к предыдущему треку,previous_track,
Сделай громче на пять,volume_change,"{""delta"": 5}"
Убавь громкость на 10 процентов,volume_change,"{""delta"": -10}"
Настрой громкость на 75,volume_set,"{""level"": 75}"
Поставь громкость на минимум,volume_set,"{""level"": 0}"
Включи громкость,volume_mute_set,"{""state"": ""off""}"
Выключи звук,volume_mute_set,"{""state"": ""on""}"
Поставь радио на 102.5,radio_set,"{""frequency"": ""102.5""}"
Переключись на Bluetooth,media_source_set,"{""source"": ""bluetooth""}"
Запусти навигацию до магазина,nav_start,"{""destination"": ""магазин""}"
Отмени маршрут,nav_cancel,
Позвони Игорю,call_start,"{""contact"": ""Игорь""}"
Ответь на звонок,call_answer,
Заверши звонок,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Выключи дальний свет,high_beam_set,"{""state"": ""off""}"
Установи дворники на авто,wipers_set,"{""speed"": ""auto""}"
Сделай стеклоочистители на низкой скорости,wipers_set,"{""speed"": ""low""}"
Переключи на ручной режим стеклоочистителей,rain_set,"{""mode"": ""manual""}"
Как дела?,chitchat,
"Привет, как у тебя дела?",chitchat,
Что нового?,chitchat,
Открой окно водителя на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
Приоткрой стекло у пассажира,window_set,"{""action"": ""open"", ""window"": ""passenger""}"
"Закрой все окна, пожалуйста",window_set,"{""action"": ""close"", ""window"": ""all""}"
Закрой пассажирское окно на сто процентов,window_set,"{""action"": ""set"", ""window"": ""passenger"", ""percent"": 100}"
Включи кондиционер на двадцать градусов,ac_set,"{""state"": ""on"", ""temperature"": 20}"
Можно выключить климат-контроль?,ac_off,
Поставь кондиционер на тридцать градусов,ac_set,"{""state"": ""on"", ""temperature"": 30}"
Включи рециркуляцию,ac_mode_set,"{""enabled"": true}"
Выключи обогрев сиденья пассажира,seat_heater_set,"{""seat"": ""passenger"", ""level"": 0}"
Сделай обогрев сиденья водителя на пятьдесят процентов,seat_heater_set,"{""seat"": ""driver"", ""level"": 50}"
Включи обогрев сиденья,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Включи вентилятор на высокую скорость,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Установи обогрев сиденья на ноль,seat_heater_set,"{""seat"": ""passenger"", ""level"": 0}"
Сделай музыку погромче на пять,volume_change,"{""delta"": 5}"
Уменьши громкость на десять процентов,volume_change,"{""delta"": -10}"
Сделай потише на восемь,volume_change,"{""delta"": -8}"
Установи громкость на шестьдесят процентов,volume_set,"{""level"": 60}"
Поставь Bluetooth как источник,media_source_set,"{""source"": ""bluetooth""}"
Поставь радио на восемьдесят девять,radio_set,"{""frequency"": ""89.0""}"
Запусти навигацию до метро,nav_start,"{""destination"": ""метро""}"
Как доехать до ближайшего кафе?,nav_start,"{""destination"": ""ближайшее кафе""}"
Позвони другу,call_start,"{""contact"": ""друг""}"
Ответь на звонок,call_answer,
Поставь дальний свет,high_beam_set,"{""state"": ""on""}"
Выключи дворники,wipers_set,"{""speed"": ""off""}"
Увеличь скорость дворников до высокой,wipers_set,"{""speed"": ""high""}"
Как дела?,chitchat,
Закрой люк,sunroof_close,
Приоткрой люк на пятьдесят процентов,sunroof_set,"{""action"": ""open"", ""percent"": 50}"
Выключи обогрев руля,wheel_heater_set,"{""state"": ""off""}"
Включи дворники на авто,rain_set,"{""mode"": ""auto""}"
