phrase,intent,parameters
Открой окно водителя на половину,window_set,"{""action"": ""open"", ""window"": ""driver"", ""percent"": 50}"
Приоткрой переднее пассажирское стекло чуть-чуть,window_set,"{""action"": ""open"", ""window"": ""passenger"", ""percent"": 10}"
Опусти все окна полностью,window_set,"{""action"": ""open"", ""window"": ""all"", ""percent"": 100}"
Задвинь окно водителя,window_set,"{""action"": ""close"", ""window"": ""driver"", ""percent"": 0}"
Прикрой боковое окно пассажира процентов на двадцать,window_set,"{""action"": ""set"", ""window"": ""passenger"", ""percent"": 20}"
"Распахни все окна немножко, пожалуйста",window_set,"{""action"": ""open"", ""window"": ""all"", ""percent"": 15}"
"Закрой все окна, похолодало",window_set,"{""action"": ""close"", ""window"": ""all"", ""percent"": 0}"
Отодвинь стекло водителя наполовину,window_set,"{""action"": ""open"", ""window"": ""driver"", ""percent"": 50}"
Подними пассажирское окно на 0%,window_set,"{""action"": ""close"", ""window"": ""passenger"", ""percent"": 0}"
Можно открыть окно пассажира на 33 процента?,window_set,"{""action"": ""open"", ""window"": ""passenger"", ""percent"": 33}"
Врубай кондиционер и поставь 22 градуса,ac_set,"{""state"": ""on"", ""temperature"": 22}"
"Кондей на 18, пожалуйста",ac_set,"{""state"": ""on"", ""temperature"": 18}"
Сделай температуру 24,ac_set,"{""state"": ""on"", ""temperature"": 24}"
Запусти климат на двадцать шесть,ac_set,"{""state"": ""on"", ""temperature"": 26}"
Поставь кондиционер на 19 градусов,ac_set,"{""state"": ""on"", ""temperature"": 19}"
Отключи климат,ac_off,
Отруби кондей,ac_off,
Кондёр выключи,ac_off,
Останови климат-контроль,ac_off,
Больше не нужно охлаждение,ac_off,
Включи рециркуляцию воздуха,ac_mode_set,"{""enabled"": true}"
Выключи рециркуляцию,ac_mode_set,"{""enabled"": false}"
Активируй обдув внутри салона,ac_mode_set,"{""enabled"": true}"
Прекрати рециркулировать воздух,ac_mode_set,"{""enabled"": false}"
"Задействуй рециркуляцию, пожалуйста",ac_mode_set,"{""enabled"": true}"
Убавь скорость вентилятора до трёх,ac_fan_set,"{""level"": 30, ""speed"": ""low""}"
Поставь вентилятор на максимум,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Снизь обдув до средней мощности,ac_fan_set,"{""level"": 50, ""speed"": ""medium""}"
Установи вентилятор на 12 процентов,ac_fan_set,"{""level"": 12, ""speed"": ""low""}"
"Немного посильнее обдув, на 68%",ac_fan_set,"{""level"": 68, ""speed"": ""high""}"
Включи подогрев водительского сиденья на пять,seat_heater_set,"{""seat"": ""driver"", ""level"": 5}"
Сделай тёплее сиденье пассажира до 85%,seat_heater_set,"{""seat"": ""passenger"", ""level"": 85}"
Накрути подогрев водителя на 33,seat_heater_set,"{""seat"": ""driver"", ""level"": 33}"
Убери нагрев на пассажирском кресле,seat_heater_set,"{""seat"": ""passenger"", ""level"": 0}"
Поставь тепло сиденья водителя на 22%,seat_heater_set,"{""seat"": ""driver"", ""level"": 22}"
Охлади сиденье водителя на 12%,seat_vent_set,"{""seat"": ""driver"", ""level"": 12}"
Включи вентиляцию сиденья пассажира на максимум,seat_vent_set,"{""seat"": ""passenger"", ""level"": 100}"
Установи вентиляцию водительского кресла на 47 процентов,seat_vent_set,"{""seat"": ""driver"", ""level"": 47}"
Выключи вентиляцию на пассажирском месте,seat_vent_set,"{""seat"": ""passenger"", ""level"": 0}"
Включи обдув лобового стекла,defrost_set,"{""state"": ""on"", ""target"": ""front""}"
Выключи подогрев заднего стекла,defrost_set,"{""state"": ""off"", ""target"": ""rear""}"
Врубай дефрост на заднее окно,defrost_set,"{""state"": ""on"", ""target"": ""rear""}"
Прекрати обогрев лобового,defrost_set,"{""state"": ""off"", ""target"": ""front""}"
Приоткрой люк на четверть,sunroof_set,"{""action"": ""open"", ""percent"": 25}"
Распахни панорамный люк полностью,sunroof_set,"{""action"": ""open"", ""percent"": 100}"
Закрой люк полностью,sunroof_set,"{""action"": ""close"", ""percent"": 0}"
"Пожалуйста, прикрой люк на 50 процентов",sunroof_set,"{""action"": ""close"", ""percent"": 50}"
Закрой люк,sunroof_close,
Играй музыку,play_music,
Врубай плейлист,play_music,
Останови музыку,stop_music,
Пауза,media_pause,
Следующая песня,next_track,
Назад трек,previous_track,
Громче на пять,volume_change,"{""delta"": 5}"
Сбавь громкость на 7,volume_change,"{""delta"": -7}"
Прибавь звук на 12 единиц,volume_change,"{""delta"": 12}"
"Тише, на три",volume_change,"{""delta"": -3}"
"Увеличь громкость на пятёрку, пожалуйста",volume_change,"{""delta"": 5}"
Громкость 50 процентов,volume_set,"{""level"": 50}"
Поставь уровень звука на двадцать два,volume_set,"{""level"": 22}"
Звук сделай 85,volume_set,"{""level"": 85}"
Сделай громкость тридцать три,volume_set,"{""level"": 33}"
Заглуши звук,volume_mute_set,"{""state"": ""on""}"
Включи звук обратно,volume_mute_set,"{""state"": ""off""}"
Переключи на Bluetooth,media_source_set,"{""source"": ""bluetooth""}"
Поставь радио как источник,media_source_set,"{""source"": ""radio""}"
Давай USB,media_source_set,"{""source"": ""usb""}"
Наладь AUX вход,media_source_set,"{""source"": ""aux""}"
Включи повтор всех треков,media_repeat_set,"{""mode"": ""all""}"
Повтори только этот трек,media_repeat_set,"{""mode"": ""one""}"
Выключи режим повтора,media_repeat_set,"{""mode"": ""off""}"
Перемешивание треков включи,media_shuffle_set,
Переключи shuffle,media_shuffle_set,
Радио настрой на 101.2,radio_set,"{""frequency"": ""101.2""}"
Поставь частоту 87.5,radio_set,"{""frequency"": ""87.5""}"
Слушай 108.0,radio_set,"{""frequency"": ""108.0""}"
Включи радиостанцию Европа Плюс,radio_set_station,"{""station"": ""Европа Плюс""}"
Переключись на Эхо Москвы,radio_set_station,"{""station"": ""Эхо Москвы""}"
Поставь станцию Радио Шансон,radio_set_station,"{""station"": ""Радио Шансон""}"
Навигатор: проложи маршрут до супермаркета,nav_start,"{""destination"": ""супермаркет""}"
